1.0	1	7.1	1.1	1	7.1
1.0	1	8.1	1.1	1	8.2
1.0 	1 	9.1  	1.1 	1 	9.1
1.0	0	13.9	1.9	0	13.8
1.1 	0 	4.0  	1.1 	0 	4.1
1.1 	1 	7.2  	1.2 	1 	7.2
1.1	1	9.2	1.2	1	9.2
1.1	0	13.9	1.9	0	13.8
1.2	0	10.0	1.2	0	10.1
1.2	0	13.0	1.2	0	13.1
1.2	0	13.9	1.9	0	13.8
1.9	1	7.0	1.10	1	7.9
1.9	1	7.1	1.10	1	7.9
1.9	1	7.2	1.10	1	7.9
1.9	1	9.0	1.10	1	9.9
1.9	1	9.1	1.10	1	9.9
1.9	1	9.2	1.10	1	9.9
2.0	1	9.1	2.1	1	9.1
2.1	0 	8.0	2.2	0	8.1
2.2	0	11.2	2.3	0	11.2
2.2	0	14.0	2.2	0	14.1
2.4	0	14.9	2.9	0	14.8
2.3	0	14.9	2.9	0	14.8
2.2	0	14.9	2.9	0	14.8
2.1	0	14.9	2.9	0	14.8
2.3 	0	4.1	2.4	1	4.2
2.4	0	5.0	2.4	0	5.1
2.9	0	0.1	2.9	1	0.1
2.9	1	0.1	2.1	0	0.0
3.0	1	8.1	3.1	1	8.2
3.0	0	15.9	3.9	0	15.8
3.1	1	8.3	3.2	1	8.3
3.1	0	9.0	3.1	0	9.1
3.1	0	15.9	3.9	0	15.8
3.2	0	15.0	3.2	0	15.1
3.2	0	15.9	3.9	0	15.8
3.9	1	8.3	3.8	1	8.9
3.9	1	8.2	3.8	1	8.9
3.9	1	8.1	3.8	1	8.9
4.8	1	10.8	4.8	0	10.8
4.8	1	13.8	4.8	0	13.8
4.8	1	3.8	4.8	0	3.8
4.8	1	2.8	4.8	0	2.8
4.8	1	6.8	4.8	0	6.8
4.8	1	5.8	4.8	0	5.8
4.8	1	9.8	4.8	0	9.8
4.8	1	8.8	4.8	0	8.8
4.8	1	12.8	4.8	0	12.8
4.8	1	11.8	4.8	0	11.8
4.8	1	15.8	4.8	0	15.8
4.8	1	14.8	4.8	0	14.8
4.1	0	10.1	4.2	1	10.2
4.1	0	13.1	4.2	1	13.2
4.1	0	5.1	4.2	1	5.2
4.1	0	11.1	4.2	1	11.2
4.1	0	14.1	4.2	1	14.2
4.1	0	6.1	4.2	1	6.2
4.1	0	12.1	4.2	1	12.2
4.1	0	15.1	4.2	1	15.2
4.2	0	7.0	4.2	0	7.1
4.2	0	7.9	4.9	0	7.8
4.1	0	7.9	4.9	0	7.8
4.0	0	7.9	4.9	0	7.8
4.9	0	10.0	4.8	0	10.9
4.9	0	10.1	4.8	0	10.9
4.9	0	10.2	4.8	0	10.9
5.2	0	8.2	5.3	0	8.3
5.4	0	8.9	5.9	0	8.8
5.3	0	8.9	5.9	0	8.8
5.2	0	8.9	5.9	0	8.8
5.1	0	8.9	5.9	0	8.8
5.9	0	11.1	5.8	0	11.9
5.9	0	11.2	5.8	0	11.9
6.0	0	12.2	6.1	0	12.2
6.0	0	9.9	6.9	0	9.8
6.1	0	9.9	6.9	0	9.8
6.2	0	9.1	6.2	0	9.2
6.2	0	9.9	6.9	0	9.8
6.9	0	12.0	6.8	0	12.9
6.9	0	12.1	6.8	0	12.9
6.9	0	12.2	6.8	0	12.9
7.1	0	10.2	7.2	0	10.2
7.1	0	13.2	7.2	0	13.2
7.1	0	16.9	7.9	1	16.9
7.1	1	16.9	7.9	0	16.0
10.9	0	13.0	10.8	0	13.9
10.9	0	13.1	10.8	0	13.9
10.9	0	13.2	10.8	0	13.9
11.0	0	14.2	11.1	0	14.2
11.9	0	14.1	11.0	0	14.9
11.9	0	14.2	11.0	0	14.9
12.0	0	15.2	12.1	0	15.2
12.9	0	15.0	12.8	0	15.9
12.9	0	15.1	12.8	0	15.9
12.9	0	15.2	12.8	0	15.9
2.9    1         4.8  2.9    0        4.8
