-10.0 	0.0	1 	0	0.1	
0.0	0.0	5 	0 	2.9 	5.0	8.0	11.0	14.0
10.0	0.0 	5	0	3.0	6.0	9.0	12.0	15.0
20.0	0.0 	5	0 	1.0 	4.0	7.0	10.0	13.0
30.0	0.0 	5	0 	1.0 	4.0	7.0	10.0	13.0
40.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
50.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
60.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
70.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
80.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
90.0	0.0 	5	0 	1.0 	4.0	7.0	10.0	13.0
100.0	0.0 	5	0 	1.0 	4.0	7.0	10.0	13.0
110.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
120.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
130.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
140.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
150.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
160.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
170.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
180.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
190.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
200.0	0.0 	5	0 	1.0 	4.0	7.0	10.0	13.0
210.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
220.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
230.0 	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
240.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
250.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
260.0	0.0	5	0 	1.0 	4.0	7.0	10.0	13.0
250.0	250.0	1	0	16.9
